"Enable extension","Activer l'extension"
"Active for selected attribute sets","Activer pour les jeux d'attributs sélectionnés"
"Select the product attribute sets for which to display a dropdown for quantity","Selectionnez les jeux d'attributs des produits pour lesquels le choix de la quantité s'affichera sous forme de liste"
